placeUrl,title,rating,reviewCount,pricing,category,attributes,address,plusCode,website,phoneNumber,wednesday,thursday,friday,saturday,sunday,monday,tuesday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Whole+Foods+Market/data=!4m7!3m6!1s0x886b509420c55555:0x71cc698c09e595f6!8m2!3d39.7685067!4d-86.1515276!16s%2Fg%2F11ggr5vgpl!19sChIJVVXFIJRQa4gR9pXlCYxpzHE,Whole Foods Market,4.4,1211,$$$,Grocery store,"Eco-minded chain with natural & organic grocery items, housewares & other products (most sell wine). · In-store shopping · Curbside pickup · Delivery","320 E Market St, Indianapolis, IN 46204","QR9X+C9 Indianapolis, Indiana",https://www.wholefoodsmarket.com/stores/marketsquare?utm_source=google&utm_medium=organic&utm_campaign=listings,(317) 559-9360,8 AM–10 PM,8 AM–10 PM,8 AM–10 PM,8 AM–10 PM,8 AM–10 PM,8 AM–10 PM,8 AM–10 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipPGsngiYdBi-i4d2pTZ9dvSudC7UG1EJrtyepSm=w408-h306-k-no,true,39.768562500000016,-86.15156250000001,"https://www.google.com/maps/search/food+truck/@39.8279126,-86.1981034,12.24z?entry=ttu",2023-10-12T00:43:59.991Z,,
https://www.google.com/maps/place/Mi+Lindo+P%C3%A9njamo+-+Food+Truck/data=!4m7!3m6!1s0x886b55496ec7ff1b:0x9be6d94cb4a52062!8m2!3d39.8975427!4d-86.2164525!16s%2Fg%2F11hmc4c27t!19sChIJG__HbklVa4gRYiCltEzZ5ps,Mi Lindo Pénjamo - Food Truck,4.5,26,,Taco restaurant,· Dine-in · Takeout,"7910 Michigan Rd, Indianapolis, IN 46268","VQXM+2C Indianapolis, Indiana",https://store.kahero.co/milindopenjamo,(317) 431-4439,7:30 PM–12 AM,7:30 PM–12 AM,7:30 PM–12 AM,Closed,Closed,Closed,7:30 PM–12 AM,Open now,https://lh5.googleusercontent.com/p/AF1QipM3amhiWt-l0_3BCk3VhjYpuJhGc8QJdZSNMHL1=w408-h544-k-no,true,39.89756250000001,-86.2164375,"https://www.google.com/maps/search/food+truck/@39.8279126,-86.1981034,12.24z?entry=ttu",2023-10-12T00:44:05.840Z,,
https://www.google.com/maps/place/Pico+de+Gallo+Food+Truck/data=!4m7!3m6!1s0x886b565bd7262ae7:0x4ad7e76156a0fad5!8m2!3d39.8099204!4d-86.2212091!16s%2Fg%2F11bvt1sl43!19sChIJ5yom11tWa4gR1fqgVmHn10o,Pico de Gallo Food Truck,4.5,252,,Taco restaurant,· Dine-in · Takeout · Delivery,"3014 Lafayette Rd #3000, Indianapolis, IN 46222","RQ5H+XG Indianapolis, Indiana",https://www.facebook.com/peregrino1982/,(317) 658-6970,5 PM–1 AM,5 PM–1 AM,5 PM–4 AM,5 PM–4 AM,5 PM–1 AM,Closed,Closed,Open now,https://lh5.googleusercontent.com/p/AF1QipOxsrs6uleA7Y3wnng0i6vOoi4l_VIocpX2YvBy=w408-h306-k-no,true,39.809937500000004,-86.2211875,"https://www.google.com/maps/search/food+truck/@39.8279126,-86.1981034,12.24z?entry=ttu",2023-10-12T00:44:09.877Z,,
https://www.google.com/maps/place/Antojitos+Guzman+food+truck+%231/data=!4m7!3m6!1s0x886b557aa1d8879f:0x4709f269130b65c7!8m2!3d39.8527225!4d-86.2414365!16s%2Fg%2F11rd909d4z!19sChIJn4fYoXpVa4gRx2ULE2nyCUc,Antojitos Guzman food truck #1,3.5,8,,Restaurant,· Dine-in · Drive-through · Delivery,"4853 W 56th St, Indianapolis, IN 46254","VQ35+3C Indianapolis, Indiana",https://antojitosguzmanfoodtruck1.business.site/?utm_source=gmb&utm_medium=referral,,2–9:30 PM,2–9:30 PM,2–9:30 PM,2–9:30 PM,2–9:30 PM,Closed,Closed,Closing soon,https://lh5.googleusercontent.com/p/AF1QipNKs5v5bTS_8Wg1YHKjc2-dEWA9OXKnD8wLka0s=w408-h544-k-no,true,39.85268749999999,-86.2414375,"https://www.google.com/maps/search/food+truck/@39.8279126,-86.1981034,12.24z?entry=ttu",2023-10-12T00:44:13.890Z,Identifies as Latino-owned,
https://www.google.com/maps/place/Taco+food+truck/data=!4m7!3m6!1s0x886b5361253f1b2d:0x79080e083cb9161d!8m2!3d39.8557078!4d-86.1136555!16s%2Fg%2F11v3_62dy_!19sChIJLRs_JWFTa4gRHRa5PAgOCHk,Taco food truck,,,,Taco restaurant,· Dine-in · Takeout · Delivery,"5621 N Parker Ave, Indianapolis, IN 46220","VV4P+7G Indianapolis, Indiana",,,12–10 PM,12–11 PM,12 PM–12 AM,5 PM–12 AM,Closed,12–9 PM,12–10 PM,Open now,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eUJDPlUJ5BnZY2iTxc7D4w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=112.54973&pitch=0&thumbfov=100,false,39.8556875,-86.11368750000001,"https://www.google.com/maps/search/food+truck/@39.8279126,-86.1981034,12.24z?entry=ttu",2023-10-12T00:44:18.113Z,,
https://www.google.com/maps/place/El+Buenavista+Food+Truck/data=!4m7!3m6!1s0x886b4f13f27ed205:0xb5c5edafbb29b30!8m2!3d39.7608462!4d-86.0812326!16s%2Fg%2F11twqgz7vc!19sChIJBdJ-8hNPa4gRMJuy-9peXAs,El Buenavista Food Truck,5.0,9,,Mexican restaurant,· Dine-in · Drive-through · Delivery,"5210 English Ave, Indianapolis, IN 46219","QW69+8G Indianapolis, Indiana",,(317) 629-8198,1:59 PM–4:59 AM,1:59 PM–4:59 AM,1:59 PM–4:59 AM,1:59 PM–4:59 AM,1:59 PM–4:59 AM,1:59 PM–4:59 AM,1:59 PM–4:59 AM,Open now,https://lh5.googleusercontent.com/p/AF1QipM4z4p9XCYj6k-e5CTt7iuaFnLCcd7DGQZY8WQ5=w408-h544-k-no,true,39.7608125,-86.0811875,"https://www.google.com/maps/search/food+truck/@39.8279126,-86.1981034,12.24z?entry=ttu",2023-10-12T00:44:22.035Z,,
https://www.google.com/maps/place/El+Viejon+Food+Truck/data=!4m7!3m6!1s0x886b576156814059:0x471b88f4feb4ee9!8m2!3d39.8099076!4d-86.2216177!16s%2Fg%2F11twj919ly!19sChIJWUCBVmFXa4gR6U7rT4-4cQQ,El Viejon Food Truck,1.0,1,,Mexican restaurant,· Dine-in · Drive-through · Delivery,"3612 W 30th St, Indianapolis, IN 46222","RQ5H+X9 Indianapolis, Indiana",https://www.elviejonfoodtruckindy.com/,(317) 854-2999,2:30 PM–1 AM,2:30 PM–1 AM,2:30 PM–4 AM,2:30 PM–4 AM,2:30 PM–12 AM,Closed,2:30 PM–1 AM,Open now,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UfFZRNsDC48F12bR3Hj1KA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=239.83913&pitch=0&thumbfov=100,true,39.809937500000004,-86.2215625,"https://www.google.com/maps/search/food+truck/@39.8279126,-86.1981034,12.24z?entry=ttu",2023-10-12T00:44:26.525Z,,
https://www.google.com/maps/place/Food+Truck+Don+Luis/data=!4m7!3m6!1s0x886b57fe69709eff:0xeb2be0dbb23ddede!8m2!3d39.8183177!4d-86.2269832!16s%2Fg%2F11m_hp53qt!19sChIJ_55waf5Xa4gR3t49stvgK-s,Food Truck Don Luis,3.0,2,,Mexican restaurant,· Dine-in · Takeout · Delivery,"3605 Commercial Dr, Indianapolis, IN 46222","RQ9F+86 Indianapolis, Indiana",http://orderfoodtruckdonluis.com/,(317) 795-5980,Closed,6 PM–12 AM,6 AM–12:30 AM,6 PM–1 AM,6 PM–12 AM,6 PM–12 AM,6 AM–12 AM,Closed today,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rInPW3RJJ9YXhnTL7Xs8fw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=75.450966&pitch=0&thumbfov=100,true,39.81831250000003,-86.2269375,"https://www.google.com/maps/search/food+truck/@39.8279126,-86.1981034,12.24z?entry=ttu",2023-10-12T00:44:30.925Z,,
https://www.google.com/maps/place/KG+Slider+Station/data=!4m7!3m6!1s0x886b566c992b1b63:0x86e0fabb0bd2561!8m2!3d39.8229194!4d-86.2343624!16s%2Fg%2F11cs4g5g0s!19sChIJYxsrmWxWa4gRYSW9sKsPbgg,KG Slider Station,5.0,1,,Restaurant,· Dine-in · Takeout · Delivery,"3748 Lafayette Rd, Indianapolis, IN 46222","RQF8+57 Indianapolis, Indiana",http://www.keysgourmet.com/#!contact-us/clx0,(317) 829-4239,12–8 PM,12–8 PM,11 AM–10 PM,11 AM–10 PM,12–8 PM,12–8 PM,12–8 PM,Closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EZlcPh0sMLNKh5tgzSZBEw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=159.16777&pitch=0&thumbfov=100,false,39.82293750000001,-86.2343125,"https://www.google.com/maps/search/food+truck/@39.8279126,-86.1981034,12.24z?entry=ttu",2023-10-12T00:44:34.822Z,,
https://www.google.com/maps/place/Oasis+Taco+Truck/data=!4m7!3m6!1s0x886b552274cd9a71:0x8e9d937baf53845e!8m2!3d39.8827228!4d-86.2083019!16s%2Fg%2F11tf57cm2p!19sChIJcZrNdCJVa4gRXoRTr3uTnY4,Oasis Taco Truck,5.0,2,,Taco restaurant,· Dine-in · Takeout,"en el parqueadero de Vision Hair salon, 7085 N Michigan Rd, Indianapolis, IN 46268","VQMR+3M Indianapolis, Indiana",https://oasis-taco-truck.business.site/?utm_source=gmb&utm_medium=referral,(317) 746-3409,Closed,8–11:30 PM,Closed,Closed,Closed,7–11 PM,Closed,Closed today,https://lh5.googleusercontent.com/p/AF1QipNRma4Qy7Ldp5YDTk4hmCWlqKA5OX0d5rd9etyN=w408-h408-k-no,true,39.88268749999999,-86.20831249999999,"https://www.google.com/maps/search/food+truck/@39.8279126,-86.1981034,12.24z?entry=ttu",2023-10-12T00:44:38.828Z,Identifies as Latino-owned,
